scheme,size,comp_time,target,profile,compr,i
fff,1543157,.847418345,wasm32-wasip1,opt-size-lvl3,zstd,3
fff,1543157,.820080353,wasm32-wasip1,opt-size-lvl3,zstd,4
fff,1543157,.847408644,wasm32-wasip1,opt-size-lvl3,zstd,5
gzip,81558,.052007067,wasm32-wasip1,opt-size-lvl3,none,1
gzip,81558,.053331094,wasm32-wasip1,opt-size-lvl3,none,2
gzip,81558,.052826325,wasm32-wasip1,opt-size-lvl3,none,3
gzip,81558,.054160821,wasm32-wasip1,opt-size-lvl3,none,4
gzip,81558,.050444789,wasm32-wasip1,opt-size-lvl3,none,5
gzip,29864,.052317164,wasm32-wasip1,opt-size-lvl3,zstd,1
gzip,29864,.052517023,wasm32-wasip1,opt-size-lvl3,zstd,2
gzip,29864,.053912342,wasm32-wasip1,opt-size-lvl3,zstd,3
gzip,29864,.056083991,wasm32-wasip1,opt-size-lvl3,zstd,4
gzip,29864,.052238896,wasm32-wasip1,opt-size-lvl3,zstd,5
zstd,314669,.109414121,wasm32-wasip1,opt-size-lvl3,none,1
zstd,314669,.109887766,wasm32-wasip1,opt-size-lvl3,none,2
zstd,314669,.113624890,wasm32-wasip1,opt-size-lvl3,none,3
zstd,314669,.111128546,wasm32-wasip1,opt-size-lvl3,none,4
zstd,314669,.108868753,wasm32-wasip1,opt-size-lvl3,none,5
zstd,86098,.107666743,wasm32-wasip1,opt-size-lvl3,zstd,1
zstd,86098,.107598943,wasm32-wasip1,opt-size-lvl3,zstd,2
zstd,86098,.110016713,wasm32-wasip1,opt-size-lvl3,zstd,3
zstd,86098,.107520405,wasm32-wasip1,opt-size-lvl3,zstd,4
zstd,86098,.105790218,wasm32-wasip1,opt-size-lvl3,zstd,5
